Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Mujeres;total;9.507
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Mujeres;curación o mejoría;8.847
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Mujeres;traslado a otros centros;322
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Mujeres;fallecimiento;259
0101 Enfermedades infecciosas intestinales, excepto diarrea A00-A08;Mujeres;otras causas;80
0102 Infecciones intestinales mal definidas A09;Ambos sexos;total;7.961
0102 Infecciones intestinales mal definidas A09;Ambos sexos;curación o mejoría;7.408
0102 Infecciones intestinales mal definidas A09;Ambos sexos;traslado a otros centros;299
0102 Infecciones intestinales mal definidas A09;Ambos sexos;fallecimiento;146
0102 Infecciones intestinales mal definidas A09;Ambos sexos;otras causas;108
0102 Infecciones intestinales mal definidas A09;Hombres;total;3.906
0102 Infecciones intestinales mal definidas A09;Hombres;curación o mejoría;3.644
0102 Infecciones intestinales mal definidas A09;Hombres;traslado a otros centros;139
0102 Infecciones intestinales mal definidas A09;Hombres;fallecimiento;60
0102 Infecciones intestinales mal definidas A09;Hombres;otras causas;62
0102 Infecciones intestinales mal definidas A09;Mujeres;total;4.055
0102 Infecciones intestinales mal definidas A09;Mujeres;curación o mejoría;3.763
0102 Infecciones intestinales mal definidas A09;Mujeres;traslado a otros centros;160
0102 Infecciones intestinales mal definidas A09;Mujeres;fallecimiento;85
0102 Infecciones intestinales mal definidas A09;Mujeres;otras causas;46
0103 Tuberculosis A15-A19, B90;Ambos sexos;total;2.694
0103 Tuberculosis A15-A19, B90;Ambos sexos;curación o mejoría;2.255
0103 Tuberculosis A15-A19, B90;Ambos sexos;traslado a otros centros;258
0103 Tuberculosis A15-A19, B90;Ambos sexos;fallecimiento;96
0103 Tuberculosis A15-A19, B90;Ambos sexos;otras causas;84
0103 Tuberculosis A15-A19, B90;Hombres;total;1.843
0103 Tuberculosis A15-A19, B90;Hombres;curación o mejoría;1.526
0103 Tuberculosis A15-A19, B90;Hombres;traslado a otros centros;198
0103 Tuberculosis A15-A19, B90;Hombres;fallecimiento;64
0103 Tuberculosis A15-A19, B90;Hombres;otras causas;55
0103 Tuberculosis A15-A19, B90;Mujeres;total;851
0103 Tuberculosis A15-A19, B90;Mujeres;curación o mejoría;729
0103 Tuberculosis A15-A19, B90;Mujeres;traslado a otros centros;61
0103 Tuberculosis A15-A19, B90;Mujeres;fallecimiento;32
0103 Tuberculosis A15-A19, B90;Mujeres;otras causas;29
0104 Septicemia A40-A41;Ambos sexos;total;59.063
0104 Septicemia A40-A41;Ambos sexos;curación o mejoría;36.246
0104 Septicemia A40-A41;Ambos sexos;traslado a otros centros;4.793
0104 Septicemia A40-A41;Ambos sexos;fallecimiento;17.171
0104 Septicemia A40-A41;Ambos sexos;otras causas;853
0104 Septicemia A40-A41;Hombres;total;32.157
0104 Septicemia A40-A41;Hombres;curación o mejoría;20.133
0104 Septicemia A40-A41;Hombres;traslado a otros centros;2.778
0104 Septicemia A40-A41;Hombres;fallecimiento;8.731
0104 Septicemia A40-A41;Hombres;otras causas;516
0104 Septicemia A40-A41;Mujeres;total;26.906
0104 Septicemia A40-A41;Mujeres;curación o mejoría;16.113
0104 Septicemia A40-A41;Mujeres;traslado a otros centros;2.015
0104 Septicemia A40-A41;Mujeres;fallecimiento;8.441
0104 Septicemia A40-A41;Mujeres;otras causas;337
0105 Infección del virus de la inmunodeficiencia humana B20;Ambos sexos;total;1.429
0105 Infección del virus de la inmunodeficiencia humana B20;Ambos sexos;curación o mejoría;1.112
0105 Infección del virus de la inmunodeficiencia humana B20;Ambos sexos;traslado a otros centros;139
0105 Infección del virus de la inmunodeficiencia humana B20;Ambos sexos;fallecimiento;93
0105 Infección del virus de la inmunodeficiencia humana B20;Ambos sexos;otras causas;86
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;total;1.102
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;curación o mejoría;854
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;traslado a otros centros;101
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;fallecimiento;82
0105 Infección del virus de la inmunodeficiencia humana B20;Hombres;otras causas;65
0105 Infección del virus de la inmunodeficiencia humana B20;Mujeres;total;327
0105 Infección del virus de la inmunodeficiencia humana B20;Mujeres;curación o mejoría;258
0105 Infección del virus de la inmunodeficiencia humana B20;Mujeres;traslado a otros centros;38
0105 Infección del virus de la inmunodeficiencia humana B20;Mujeres;fallecimiento;11
0105 Infección del virus de la inmunodeficiencia humana B20;Mujeres;otras causas;20
0106 COVID-19 U07.1, U09.9;Ambos sexos;total;175.924
0106 COVID-19 U07.1, U09.9;Ambos sexos;curación o mejoría;133.944
0106 COVID-19 U07.1, U09.9;Ambos sexos;traslado a otros centros;17.922
0106 COVID-19 U07.1, U09.9;Ambos sexos;fallecimiento;20.662
0106 COVID-19 U07.1, U09.9;Ambos sexos;otras causas;3.396
0106 COVID-19 U07.1, U09.9;Hombres;total;95.770
0106 COVID-19 U07.1, U09.9;Hombres;curación o mejoría;72.974
0106 COVID-19 U07.1, U09.9;Hombres;traslado a otros centros;9.181
0106 COVID-19 U07.1, U09.9;Hombres;fallecimiento;11.595
0106 COVID-19 U07.1, U09.9;Hombres;otras causas;2.020
0106 COVID-19 U07.1, U09.9;Mujeres;total;80.154
0106 COVID-19 U07.1, U09.9;Mujeres;curación o mejoría;60.970
0106 COVID-19 U07.1, U09.9;Mujeres;traslado a otros centros;8.741
0106 COVID-19 U07.1, U09.9;Mujeres;fallecimiento;9.068
0106 COVID-19 U07.1, U09.9;Mujeres;otras causas;1.376
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Ambos sexos;total;26.045
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Ambos sexos;curación o mejoría;23.085
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Ambos sexos;traslado a otros centros;1.474
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Ambos sexos;fallecimiento;1.068
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Ambos sexos;otras causas;418
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;total;14.734
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;curación o mejoría;13.098
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;traslado a otros centros;771
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;fallecimiento;603
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Hombres;otras causas;263
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Mujeres;total;11.311
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Mujeres;curación o mejoría;9.987
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Mujeres;traslado a otros centros;703
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Mujeres;fallecimiento;465
0107 Otras enfermedades infecciosas y parasitarias Resto de  A00-B99;Mujeres;otras causas;155
0200 NEOPLASIAS C00-D49;Ambos sexos;total;447.567
0200 NEOPLASIAS C00-D49;Ambos sexos;curación o mejoría;381.432
0200 NEOPLASIAS C00-D49;Ambos sexos;traslado a otros centros;22.973
0200 NEOPLASIAS C00-D49;Ambos sexos;fallecimiento;39.799
0200 NEOPLASIAS C00-D49;Ambos sexos;otras causas;3.363
0200 NEOPLASIAS C00-D49;Hombres;total;233.874
0200 NEOPLASIAS C00-D49;Hombres;curación o mejoría;195.469
0200 NEOPLASIAS C00-D49;Hombres;traslado a otros centros;12.891
0200 NEOPLASIAS C00-D49;Hombres;fallecimiento;23.754
0200 NEOPLASIAS C00-D49;Hombres;otras causas;1.759
0200 NEOPLASIAS C00-D49;Mujeres;total;213.693
0200 NEOPLASIAS C00-D49;Mujeres;curación o mejoría;185.962
0200 NEOPLASIAS C00-D49;Mujeres;traslado a otros centros;10.082
0200 NEOPLASIAS C00-D49;Mujeres;fallecimiento;16.044
0200 NEOPLASIAS C00-D49;Mujeres;otras causas;1.605
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Ambos sexos;total;43.530
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Ambos sexos;curación o mejoría;36.488
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Ambos sexos;traslado a otros centros;2.636
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Ambos sexos;fallecimiento;4.148
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Ambos sexos;otras causas;258
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;total;25.948
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;curación o mejoría;21.802
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;traslado a otros centros;1.518
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;fallecimiento;2.475
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Hombres;otras causas;154
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Mujeres;total;17.581
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Mujeres;curación o mejoría;14.686
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Mujeres;traslado a otros centros;1.118
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Mujeres;fallecimiento;1.673
0201 Neoplasias malignas de colon, recto y ano  C18-C21;Mujeres;otras causas;104
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;total;34.352
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;curación o mejoría;23.956
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;traslado a otros centros;2.485
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;fallecimiento;7.497
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Ambos sexos;otras causas;414
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Hombres;total;24.216
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Hombres;curación o mejoría;16.600
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Hombres;traslado a otros centros;1.770
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Hombres;fallecimiento;5.561
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Hombres;otras causas;284
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;total;10.136
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;curación o mejoría;7.355
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;traslado a otros centros;715
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;fallecimiento;1.936
0202 Neoplasias malignas de tráquea, bronquios y pulmón  C33-C34;Mujeres;otras causas;130
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Ambos sexos;total;6.910
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Ambos sexos;curación o mejoría;6.302
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Ambos sexos;traslado a otros centros;221
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Ambos sexos;fallecimiento;353
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Ambos sexos;otras causas;34
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;total;3.918
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;curación o mejoría;3.556
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;traslado a otros centros;122
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;fallecimiento;218
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Hombres;otras causas;22
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Mujeres;total;2.992
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Mujeres;curación o mejoría;2.746
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Mujeres;traslado a otros centros;98
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Mujeres;fallecimiento;135
0203 Melanoma y otras neoplasias malignas de la piel C43-C44;Mujeres;otras causas;12
0204 Neoplasia maligna de la mama  C50;Ambos sexos;total;30.607
0204 Neoplasia maligna de la mama  C50;Ambos sexos;curación o mejoría;28.483
0204 Neoplasia maligna de la mama  C50;Ambos sexos;traslado a otros centros;873
0204 Neoplasia maligna de la mama  C50;Ambos sexos;fallecimiento;1.098
0204 Neoplasia maligna de la mama  C50;Ambos sexos;otras causas;154
0204 Neoplasia maligna de la mama  C50;Hombres;total;322
0204 Neoplasia maligna de la mama  C50;Hombres;curación o mejoría;296
0204 Neoplasia maligna de la mama  C50;Hombres;traslado a otros centros;8
0204 Neoplasia maligna de la mama  C50;Hombres;fallecimiento;14
0204 Neoplasia maligna de la mama  C50;Hombres;otras causas;3
0204 Neoplasia maligna de la mama  C50;Mujeres;total;30.285
0204 Neoplasia maligna de la mama  C50;Mujeres;curación o mejoría;28.187
0204 Neoplasia maligna de la mama  C50;Mujeres;traslado a otros centros;864
0204 Neoplasia maligna de la mama  C50;Mujeres;fallecimiento;1.084
0204 Neoplasia maligna de la mama  C50;Mujeres;otras causas;151
0205 Neoplasia maligna del útero C53-C55;Ambos sexos;total;10.225
0205 Neoplasia maligna del útero C53-C55;Ambos sexos;curación o mejoría;9.167
0205 Neoplasia maligna del útero C53-C55;Ambos sexos;traslado a otros centros;317
0205 Neoplasia maligna del útero C53-C55;Ambos sexos;fallecimiento;569
0205 Neoplasia maligna del útero C53-C55;Ambos sexos;otras causas;171
0205 Neoplasia maligna del útero C53-C55;Hombres;total;..
0205 Neoplasia maligna del útero C53-C55;Hombres;curación o mejoría;..
0205 Neoplasia maligna del útero C53-C55;Hombres;traslado a otros centros;..
0205 Neoplasia maligna del útero C53-C55;Hombres;fallecimiento;..
0205 Neoplasia maligna del útero C53-C55;Hombres;otras causas;..
0205 Neoplasia maligna del útero C53-C55;Mujeres;total;10.225
0205 Neoplasia maligna del útero C53-C55;Mujeres;curación o mejoría;9.167
0205 Neoplasia maligna del útero C53-C55;Mujeres;traslado a otros centros;317
0205 Neoplasia maligna del útero C53-C55;Mujeres;fallecimiento;569
0205 Neoplasia maligna del útero C53-C55;Mujeres;otras causas;171
0206 Neoplasia maligna del ovario C56;Ambos sexos;total;4.959
0206 Neoplasia maligna del ovario C56;Ambos sexos;curación o mejoría;4.157
0206 Neoplasia maligna del ovario C56;Ambos sexos;traslado a otros centros;205
0206 Neoplasia maligna del ovario C56;Ambos sexos;fallecimiento;524
0206 Neoplasia maligna del ovario C56;Ambos sexos;otras causas;73
0206 Neoplasia maligna del ovario C56;Hombres;total;..
0206 Neoplasia maligna del ovario C56;Hombres;curación o mejoría;..
0206 Neoplasia maligna del ovario C56;Hombres;traslado a otros centros;..
0206 Neoplasia maligna del ovario C56;Hombres;fallecimiento;..
0206 Neoplasia maligna del ovario C56;Hombres;otras causas;..
0206 Neoplasia maligna del ovario C56;Mujeres;total;4.959
0206 Neoplasia maligna del ovario C56;Mujeres;curación o mejoría;4.157
0206 Neoplasia maligna del ovario C56;Mujeres;traslado a otros centros;205
0206 Neoplasia maligna del ovario C56;Mujeres;fallecimiento;524
0206 Neoplasia maligna del ovario C56;Mujeres;otras causas;73
0207 Neoplasia maligna de la próstata C61;Ambos sexos;total;20.966
0207 Neoplasia maligna de la próstata C61;Ambos sexos;curación o mejoría;19.239
0207 Neoplasia maligna de la próstata C61;Ambos sexos;traslado a otros centros;562
0207 Neoplasia maligna de la próstata C61;Ambos sexos;fallecimiento;990
0207 Neoplasia maligna de la próstata C61;Ambos sexos;otras causas;175
0207 Neoplasia maligna de la próstata C61;Hombres;total;20.966
0207 Neoplasia maligna de la próstata C61;Hombres;curación o mejoría;19.239
0207 Neoplasia maligna de la próstata C61;Hombres;traslado a otros centros;562
0207 Neoplasia maligna de la próstata C61;Hombres;fallecimiento;990
0207 Neoplasia maligna de la próstata C61;Hombres;otras causas;175
0207 Neoplasia maligna de la próstata C61;Mujeres;total;..
0207 Neoplasia maligna de la próstata C61;Mujeres;curación o mejoría;..
0207 Neoplasia maligna de la próstata C61;Mujeres;traslado a otros centros;..
0207 Neoplasia maligna de la próstata C61;Mujeres;fallecimiento;..
0207 Neoplasia maligna de la próstata C61;Mujeres;otras causas;..
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;total;38.122
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;curación o mejoría;34.743
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;traslado a otros centros;1.738
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;fallecimiento;1.474
0208 Neoplasia maligna de la vejiga C67;Ambos sexos;otras causas;167
0208 Neoplasia maligna de la vejiga C67;Hombres;total;31.372
0208 Neoplasia maligna de la vejiga C67;Hombres;curación o mejoría;28.627
0208 Neoplasia maligna de la vejiga C67;Hombres;traslado a otros centros;1.429
0208 Neoplasia maligna de la vejiga C67;Hombres;fallecimiento;1.190
0208 Neoplasia maligna de la vejiga C67;Hombres;otras causas;126
0208 Neoplasia maligna de la vejiga C67;Mujeres;total;6.749
0208 Neoplasia maligna de la vejiga C67;Mujeres;curación o mejoría;6.116
0208 Neoplasia maligna de la vejiga C67;Mujeres;traslado a otros centros;308
0208 Neoplasia maligna de la vejiga C67;Mujeres;fallecimiento;283
0208 Neoplasia maligna de la vejiga C67;Mujeres;otras causas;41
0209 Otras neoplasias malignas Resto de C00-C97;Ambos sexos;total;163.060
0209 Otras neoplasias malignas Resto de C00-C97;Ambos sexos;curación o mejoría;128.250
0209 Otras neoplasias malignas Resto de C00-C97;Ambos sexos;traslado a otros centros;11.388
0209 Otras neoplasias malignas Resto de C00-C97;Ambos sexos;fallecimiento;22.074
0209 Otras neoplasias malignas Resto de C00-C97;Ambos sexos;otras causas;1.348
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;total;92.988
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;curación o mejoría;73.029
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;traslado a otros centros;6.444
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;fallecimiento;12.718
0209 Otras neoplasias malignas Resto de C00-C97;Hombres;otras causas;797
0209 Otras neoplasias malignas Resto de C00-C97;Mujeres;total;70.072
0209 Otras neoplasias malignas Resto de C00-C97;Mujeres;curación o mejoría;55.222
0209 Otras neoplasias malignas Resto de C00-C97;Mujeres;traslado a otros centros;4.943
0209 Otras neoplasias malignas Resto de C00-C97;Mujeres;fallecimiento;9.356
0209 Otras neoplasias malignas Resto de C00-C97;Mujeres;otras causas;551
0210 Carcinoma in situ D00-D09;Ambos sexos;total;12.075
0210 Carcinoma in situ D00-D09;Ambos sexos;curación o mejoría;11.704
0210 Carcinoma in situ D00-D09;Ambos sexos;traslado a otros centros;232
0210 Carcinoma in situ D00-D09;Ambos sexos;fallecimiento;95
0210 Carcinoma in situ D00-D09;Ambos sexos;otras causas;44
0210 Carcinoma in situ D00-D09;Hombres;total;6.521
0210 Carcinoma in situ D00-D09;Hombres;curación o mejoría;6.327
0210 Carcinoma in situ D00-D09;Hombres;traslado a otros centros;119
0210 Carcinoma in situ D00-D09;Hombres;fallecimiento;54
0210 Carcinoma in situ D00-D09;Hombres;otras causas;21
0210 Carcinoma in situ D00-D09;Mujeres;total;5.555
0210 Carcinoma in situ D00-D09;Mujeres;curación o mejoría;5.377
0210 Carcinoma in situ D00-D09;Mujeres;traslado a otros centros;113
0210 Carcinoma in situ D00-D09;Mujeres;fallecimiento;41
0210 Carcinoma in situ D00-D09;Mujeres;otras causas;23
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Ambos sexos;total;4.015
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Ambos sexos;curación o mejoría;3.916
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Ambos sexos;traslado a otros centros;64
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Ambos sexos;fallecimiento;18
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Ambos sexos;otras causas;17
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;total;2.384
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;curación o mejoría;2.327
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;traslado a otros centros;35
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;fallecimiento;11
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Hombres;otras causas;11
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Mujeres;total;1.631
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Mujeres;curación o mejoría;1.589
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Mujeres;traslado a otros centros;29
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Mujeres;fallecimiento;7
0211 Neoplasia benigna del colon, del recto, del conducto anal y del ano D12;Mujeres;otras causas;6
0212 Leiomioma uterino D25;Ambos sexos;total;19.987
0212 Leiomioma uterino D25;Ambos sexos;curación o mejoría;19.552
0212 Leiomioma uterino D25;Ambos sexos;traslado a otros centros;309
0212 Leiomioma uterino D25;Ambos sexos;fallecimiento;8
0212 Leiomioma uterino D25;Ambos sexos;otras causas;118
0212 Leiomioma uterino D25;Hombres;total;..
0212 Leiomioma uterino D25;Hombres;curación o mejoría;..
0212 Leiomioma uterino D25;Hombres;traslado a otros centros;..
0212 Leiomioma uterino D25;Hombres;fallecimiento;..
0212 Leiomioma uterino D25;Hombres;otras causas;..
0212 Leiomioma uterino D25;Mujeres;total;19.987
0212 Leiomioma uterino D25;Mujeres;curación o mejoría;19.552
0212 Leiomioma uterino D25;Mujeres;traslado a otros centros;309
0212 Leiomioma uterino D25;Mujeres;fallecimiento;8
0212 Leiomioma uterino D25;Mujeres;otras causas;118
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Ambos sexos;total;58.759
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Ambos sexos;curación o mejoría;55.475
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Ambos sexos;traslado a otros centros;1.943
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Ambos sexos;fallecimiento;951
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Ambos sexos;otras causas;390
0213 Otras neoplasias benignas y neoplasias de comportamiento incierto o desconocido Resto de D00-D49;Hombres;total;25.239
